iter	Passed	Remaining
546	22051	18261
547	22093	18223
548	22133	18182
549	22170	18139
550	22210	18099
551	22248	18057
552	22290	18017
553	22333	17979
554	22370	17936
555	22410	17895
556	22448	17853
557	22485	17811
558	22523	17769
559	22561	17726
560	22601	17686
561	22639	17643
562	22679	17603
563	22714	17559
564	22752	17517
565	22792	17477
566	22832	17436
567	22870	17394
568	22909	17353
569	22961	17321
570	23006	17284
571	23047	17245
572	23086	17203
573	23124	17162
574	23162	17120
575	23204	17081
576	23244	17040
577	23285	17000
578	23326	16960
579	23362	16917
580	23403	16877
581	23443	16837
582	23485	16798
583	23525	16758
584	23564	16716
585	23604	16676
586	23644	16635
587	23682	16593
588	23721	16552
589	23763	16513
590	23806	16474
591	23843	16432
592	23884	16392
593	23923	16351
594	23964	16312
595	24007	16273
596	24044	16230
597	24083	16189
598	24120	16147
599	24158	16105
600	24202	16068
601	24243	16028
602	24281	15986
603	24320	15945
604	24360	15904
605	24401	15864
606	24441	15824
607	24482	15784
608	24523	15744
609	24561	15703
610	24601	15662
611	24644	15623
612	24685	15584
613	24730	15547
614	24768	15505
615	24811	15466
616	24850	15425
617	24889	15384
618	24934	15347
619	24974	15306
620	25012	15265
621	25052	15224
622	25089	15182
623	25132	15143
624	25172	15103
625	25213	15063
626	25252	15022
627	25294	14983
628	25334	14942
629	25374	14902
630	25414	14862
631	25468	14829
632	25506	14788
633	25546	14747
634	25586	14707
635	25627	14667
636	25672	14629
637	25710	14588
638	25748	14546
639	25791	14507
640	25834	14468
641	25879	14431
642	25918	14390
643	25956	14348
644	25995	14307
645	26034	14266
646	26074	14226
647	26114	14185
648	26154	14145
649	26195	14105
650	26233	14063
651	26274	14023
652	26314	13983
653	26354	13943
654	26395	13902
655	26433	13861
656	26474	13821
657	26513	13780
658	26554	13740
659	26594	13700
660	26633	13659
661	26673	13618
662	26712	13577
663	26751	13537
664	26794	13498
665	26836	13458
666	26876	13418
667	26915	13377
668	26954	13336
669	26992	13294
670	27034	13255
671	27082	13218
672	27124	13179
673	27161	13137
674	27200	13096
675	27240	13055
676	27282	13016
677	27326	12978
678	27363	12936
679	27402	12895
680	27442	12855
681	27484	12815
682	27526	12775
683	27564	12734
684	27602	12692
685	27642	12652
686	27682	12612
687	27723	12572
688	27765	12532
689	27804	12491
690	27844	12451
691	27884	12410
692	27925	12370
693	27967	12331
694	28007	12291
695	28046	12250
696	28085	12209
697	28125	12168
698	28166	12128
699	28206	12088
700	28246	12048
701	28295	12011
702	28333	11970
703	28373	11929
704	28412	11888
705	28453	11848
706	28493	11808
707	28531	11767
708	28569	11725
709	28608	11685
710	28651	11646
711	28689	11604
712	28731	11565
713	28771	11524
714	28809	11483
715	28853	11444
716	28894	11404
717	28932	11363
718	28971	11322
719	29010	11281
720	29051	11241
721	29089	11200
722	29132	11161
723	29171	11120
724	29209	11079
725	29249	11039
726	29290	10999
727	29343	10963
728	29386	10924
729	29424	10883
730	29462	10841
731	29503	10801
732	29541	10760
733	29584	10721
734	29628	10682
735	29665	10640
736	29707	10601
737	29745	10560
738	29787	10520
739	29829	10480
740	29870	10440
741	29914	10401
742	29955	10361
743	29996	10321
744	30039	10281
745	30080	10241
746	30120	10201
747	30159	10160
748	30198	10119
749	30238	10079
750	30279	10039
751	30323	10000
752	30362	9959
753	30400	9918
754	30441	9878
755	30480	9837
756	30523	9798
757	30564	9758
758	30604	9717
759	30643	9676
760	30682	9636
761	30723	9596
762	30761	9554
763	30807	9516
764	30847	9476
765	30886	9435
766	30924	9394
767	30962	9353
768	31002	9312
769	31045	9273
770	31084	9232
771	31122	9191
772	31161	9151
773	31198	9109
774	31241	9070
775	31281	9029
776	31324	8990
777	31361	8948
778	31402	8908
779	31442	8868
780	31481	8827
781	31525	8788
782	31564	8747
783	31604	8707
784	31644	8667
785	31688	8627
786	31729	8587
787	31768	8546
788	31806	8505
789	31845	8465
790	31882	8423
791	31922	8383
792	31974	8346
793	32012	8305
794	32054	8265
795	32091	8224
796	32130	8183
797	32173	8144
798	32213	8103
799	32252	8063
800	32294	8023
801	32334	7982
802	32373	7942
803	32413	7901
804	32456	7862
805	32495	7821
806	32535	7781
807	32574	7740
808	32612	7699
809	32654	7659
810	32697	7619
811	32736	7579
812	32775	7538
813	32813	7497
814	32853	7457
815	32898	7418
816	32940	7378
817	32980	7337
818	33019	7297
819	33058	7256
820	33101	7217
821	33141	7176
822	33182	7136
823	33221	7095
824	33260	7055
825	33301	7015
826	33338	6974
827	33377	6933
828	33417	6893
829	33459	6853
830	33500	6812
831	33539	6772
832	33579	6731
833	33619	6691
834	33662	6651
835	33705	6612
836	33743	6571
837	33784	6531
838	33822	6490
839	33863	6450
840	33904	6410
841	33941	6369
842	33980	6328
843	34018	6287
844	34057	6247
845	34097	6206
846	34137	6166
847	34178	6126
848	34214	6085
849	34254	6044
850	34294	6004
851	34333	5963
852	34377	5924
853	34418	5884
854	34457	5843
855	34495	5802
856	34532	5762
857	34573	5721
858	34614	5681
859	34653	5641
860	34693	5600
861	34730	5560
862	34767	5519
863	34806	5478
864	34849	5438
865	34886	5398
866	34924	5357
867	34962	5316
868	35000	5276
869	35040	5235
870	35078	5195
871	35118	5155
872	35158	5114
873	35194	5073
874	35233	5033
875	35273	4993
876	35315	4953
877	35355	4912
878	35393	4872
879	35432	4831
880	35470	4791
881	35521	4752
882	35564	4712
883	35602	4671
884	35641	4631
885	35678	4590
886	35718	4550
887	35759	4510
888	35802	4470
889	35842	4429
890	35881	4389
891	35921	4349
892	35959	4308
893	36000	4268
894	36044	4228
895	36081	4188
896	36119	4147
897	36157	4107
898	36198	4066
899	36242	4026
900	36280	3986
901	36320	3946
902	36359	3905
903	36396	3865
904	36438	3825
905	36475	3784
906	36515	3744
907	36555	3703
908	36592	3663
909	36631	3622
910	36670	3582
911	36713	3542
912	36754	3502
913	36794	3462
914	36832	3421
915	36871	3381
916	36911	3340
917	36954	3300
918	36992	3260
919	37030	3220
920	37068	3179
921	37109	3139
922	37150	3099
923	37189	3058
924	37229	3018
925	37266	2978
926	37307	2937
927	37345	2897
928	37386	2857
929	37429	2817
930	37468	2776
931	37507	2736
932	37544	2696
933	37584	2655
934	37626	2615
935	37668	2575
936	37709	2535
937	37749	2495
938	37788	2454
939	37830	2414
940	37869	2374
941	37912	2334
942	37952	2294
943	37991	2253
944	38028	2213
945	38067	2172
946	38109	2132
947	38152	2092
948	38190	2052
949	38228	2012
950	38266	1971
951	38305	1931
952	38348	1891
953	38388	1851
954	38428	1810
955	38467	1770
956	38506	1730
957	38546	1689
958	38584	1649
959	38629	1609
960	38666	1569
961	38708	1529
962	38747	1488
963	38786	1448
964	38828	1408
965	38868	1368
966	38909	1327
967	38948	1287
968	38986	1247
969	39025	1206
970	39064	1166
971	39106	1126
972	39145	1086
973	39183	1045
974	39223	1005
975	39261	965
976	39304	925
977	39345	885
978	39392	844
979	39432	804
980	39472	764
981	39510	724
982	39552	684
983	39594	643
984	39634	603
985	39673	563
986	39713	523
987	39752	482
988	39792	442
989	39836	402
990	39874	362
991	39911	321
992	39952	281
993	39992	241
994	40035	201
995	40074	160
996	40112	120
997	40151	80
998	40192	40
999	40235	0
